15400,0.251,246.182
15500,0.233,248.758
15600,0.210,250.933
15700,0.217,248.957
15800,0.261,243.534
15900,0.223,247.935
16000,0.200,250.828
16100,0.256,242.430
16200,0.255,241.798
16300,0.213,246.879
16400,0.228,246.098
16500,0.238,243.295
16600,0.253,244.953
16700,0.235,242.413
16800,0.256,239.147
16900,0.223,244.319
17000,0.258,239.613
17100,0.264,237.212
17200,0.269,236.519
17300,0.265,236.287
17400,0.224,240.923
17500,0.270,235.617
17600,0.234,240.115
17700,0.261,237.207
17800,0.273,234.608
17900,0.266,234.091
18000,0.199,245.779
18100,0.273,233.518
18200,0.269,234.295
18300,0.253,234.962
18400,0.199,242.352
18500,0.270,232.373
18600,0.262,232.773
18700,0.279,231.564
18800,0.274,230.408
18900,0.266,230.078
19000,0.137,257.299
19100,0.269,230.547
19200,0.234,234.520
19300,0.219,237.928
19400,0.252,232.324
19500,0.260,231.517
19600,0.244,233.467
19700,0.236,233.740
19800,0.263,230.357
19900,0.176,245.390
20000,0.276,227.526
20100,0.278,227.623
20200,0.281,226.791
20300,0.274,226.382
20400,0.222,235.744
20500,0.279,225.567
20600,0.277,225.780
20700,0.280,225.778
20800,0.213,236.052
20900,0.268,226.534
21000,0.287,224.232
21100,0.279,225.285
21200,0.287,223.481
21300,0.287,223.371
21400,0.288,223.103
21500,0.282,223.695
21600,0.268,225.284
21700,0.252,227.817
21800,0.266,224.472
21900,0.273,225.000
22000,0.189,240.298
22100,0.270,224.550
22200,0.285,221.566
22300,0.291,221.076
22400,0.284,222.013
22500,0.280,222.253
22600,0.246,226.871
22700,0.196,237.658
22800,0.262,224.471
22900,0.292,219.670
23000,0.287,220.473
23100,0.251,226.354
23200,0.288,219.402
23300,0.276,220.244
23400,0.279,220.004
23500,0.276,220.456
23600,0.217,231.377
23700,0.283,219.051
23800,0.280,219.888
23900,0.289,218.191
24000,0.290,217.871
24100,0.269,221.481
24200,0.286,218.201
24300,0.273,219.567
24400,0.237,227.821
24500,0.281,218.108
24600,0.281,218.736
24700,0.243,225.116
24800,0.293,216.377
24900,0.218,230.950
25000,0.275,219.000
25100,0.263,221.692
25200,0.218,231.023
25300,0.286,216.917
25400,0.275,219.192
25500,0.282,217.271
25600,0.298,215.374
25700,0.293,215.634
25800,0.293,215.552
25900,0.292,215.717
26000,0.170,242.417
26100,0.298,214.429
26200,0.298,214.615
26300,0.251,222.092
26400,0.287,215.453
26500,0.289,215.636
26600,0.247,223.609
26700,0.290,214.436
26800,0.286,214.871
26900,0.295,213.904
27000,0.171,243.173
27100,0.293,213.567
27200,0.284,215.981
27300,0.293,213.293
27400,0.288,213.827
27500,0.258,220.913
27600,0.279,216.650
27700,0.289,213.873
27800,0.290,213.331
27900,0.299,212.096
28000,0.248,221.799
28100,0.257,220.263
28200,0.284,214.346
28300,0.299,211.592
28400,0.281,215.593
28500,0.260,219.483
28600,0.271,216.360
28700,0.267,216.899
28800,0.278,214.948
28900,0.270,216.403
29000,0.278,215.222
